Year,Value
2007-01-01,905
2007-01-01,2442
2007-01-01,2223
2007-01-01,2839
2007-01-01,2736
2007-01-01,2565
2007-01-01,2061
2007-01-01,2344
2007-01-01,1959
2007-01-01,1925
2007-01-01,1908
2007-01-01,3241
2007-01-01,699
2007-01-01,1806
2007-01-01,1947
2007-01-01,2424
2007-01-01,1799
2007-01-01,1809
2007-01-01,2609
2007-01-01,3216
2007-01-01,2005
2007-01-01,2157
2007-01-01,1400
2007-01-01,3401
2007-01-01,1065
2007-01-01,2607
2007-01-01,2648
2007-01-01,1345
2007-01-01,1405
2007-01-01,2173
2007-01-01,1796
2007-01-01,1620
2007-01-01,2462
2007-01-01,2268
2007-01-01,1628
2007-01-01,2401
2007-01-01,1581
2007-01-01,2441
2007-01-01,2294
2007-01-01,2480
2007-01-01,2023
2007-01-01,3193
2007-01-01,2610
2007-01-01,2008
2007-01-01,1721
2007-01-01,2545
2007-01-01,1177
2007-01-01,3068
2007-01-01,2617
2007-01-01,1102
2007-01-01,3059
2007-01-01,2565
2008-01-01,3960
2008-01-01,4718
2008-01-01,4609
2008-01-01,4268
2008-01-01,4521
2008-01-01,6289
2008-01-01,5575
2008-01-01,2287
2008-01-01,2630
2008-01-01,5696
2008-01-01,6693
2008-01-01,4097
2008-01-01,3187
2008-01-01,6286
2008-01-01,5646
2008-01-01,4298
2008-01-01,6339
2008-01-01,5188
2008-01-01,3700
2008-01-01,4476
2008-01-01,3883
2008-01-01,4702
2008-01-01,3185
2008-01-01,4803
2008-01-01,3562
2008-01-01,2932
2008-01-01,6466
2008-01-01,4972
2008-01-01,4325
2008-01-01,5082
2008-01-01,6439
2008-01-01,4205
2008-01-01,3870
2008-01-01,6987
2008-01-01,6166
2008-01-01,3988
2008-01-01,3126
2008-01-01,2886
2008-01-01,4131
2008-01-01,2647
2008-01-01,6564
2008-01-01,4470
2008-01-01,3493
2008-01-01,3813
2008-01-01,4882
2008-01-01,4630
2008-01-01,3366
2008-01-01,5274
2008-01-01,6899
2008-01-01,4299
2008-01-01,5949
2008-01-01,3007
2009-01-01,3036
2009-01-01,3738
2009-01-01,939
2009-01-01,2768
2009-01-01,2757
2009-01-01,3179
2009-01-01,2834
2009-01-01,2933
2009-01-01,3982
2009-01-01,4046
2009-01-01,1934
2009-01-01,3268
2009-01-01,3843
2009-01-01,2516
2009-01-01,5583
2009-01-01,2226
2009-01-01,1945
2009-01-01,4041
2009-01-01,2795
2009-01-01,3689
2009-01-01,3011
2009-01-01,3619
2009-01-01,4099
2009-01-01,3928
2009-01-01,2083
2009-01-01,4294
2009-01-01,2904
2009-01-01,3313
